yaourt,mast,ماست
jaune,zard,زرد
lettre,namé,نامه
bureau,edoré,اداره
banque,bank,بانک
sel,namak,نمک
livre,ketab,کتاب
temps(heure),zamân,زمان
secret,râz,راز
soldat,sarbâz,سرباز
frontière,marz,مرز
fièvre,tab,تب
hache,tabar,تبر
pire,badtar,بدتر
vert,sabz,سبز
sourd,kar,کر
mal entendant,na chenava,نا شنوا
travail,kâr,کار
aveugle,kour,کور
mal voyant,na bina,نا بینا
goût,mazé,مزه
beurre,koré,کره
appel,neda,ندا
crème,kerem,کرم
sac,kif,کیف
sac,sac,ساک
employé,kârmand,کارمند
yasmin,yâs,یاس
mer,dariâ,دریا
paille,nei,نی
pomme,sib,سیب
plateau,sini,سینی
proche,nasdik,نزدیک
sous,zir,زیر
ail,sir,سیر
sur,rou,رو
tapis,farch,فرش
les proches,nasdikam,نزدیکم
cahier,daftar,دفتر
neige,barf,برف
féé,pari,پری
demain,farda,فردا
fromage,panir,پنیر
message,payâm,پیام
feu,âtach,آتش
nuit,chab,شب
cette nuit,emchab,امشب
vieux,pir,پیر
chaussures,kafech,کفش
briquet,fandaq,فندک
canard,ardak,اردک
chèvre,boz,بز
docteur,doktor,دکتر
cuillière,qâchaq,قاشق
assiètte,bochqâb,بشقاب
chambre,otâq,آتاق
sucre en cube,qand,قند
ancien,qadimi,قدیمی
derrière/dos,pocht,پشت
Orient/Est,charq,شرق
rouge,qermez,قرمز
gomme,pâkkon,پاککن
barque,qâiq,قایق
