traduction,tarjomé,ترجمه
marchant,tâjir,تاجر
femme au foyer,xanedar,خانه دار
couturier,xiayat,خیاط
gardien,pesdar,پاسدار
infirmière,parastar,پرستار
exemple,nemoune,نمونه
peintre,naqash,نقاش
dessinateur,tarâh,طراح
métier avocat,vakilat,وکالت
droit,haqouq,حقوق
la loi,qânoun,قانون
Belgique,belgiq,بلژیک
irlandais,irlandi,ایرلندی
libanai,libani,لبنانی
mexiquain,mexiqi,مکزیکی
facile,asan,آسان
difficile,sacht,سخت
un peu,yek kam,یک کم
tapis,gâli,قالی
bureau de travail,daftar e kar,دفتر کار
cascade,âbchâr,آبشار
après demain,pasfarda,پس فردا
soleil,aftab,آقتاب
ensoleillé,aftabi,آفتابی
samedi,chanbé,شنبه
dimanche,yek chanbé,یک شنبه
lundi,do chanbé,دو شنبه
mardi,se chanbé,سه شنبه
mercredi,chahar chanbé,چهار شنبه
jeudi,panj chanbé,پنج شنبه
vendredi,jomé,جمعه
fourchette,changal,چنگال
couteau,chagou,چاقو
verre,livan,لیوان
tasse,fenjan,فنحان
douleur,dard,درد
tête,sar,سر
dos,kamar,کمر
ventre,chekom,شکم
Ouest,qarb,غرب
acide,torch,ترش
sucré,chirin,شرین
amer,talch,تلش
robe/chemise,pirahan,پیراهن
bureau,miz e kar,میز کار
travail,kar,کار
voisins,hamsâjé,همسایه
arbre,deracht,درخت
glaçons,iach,یخ
tableau/planche en bois,tahrté,تخته
comcombre,hiar,خیار
fatigue,hasté,خسته
pâte (pain),hamir,خمیر
crème (fraîche),hamé,خامه
abimé/détruit,harâb,سخت
échec,bâht,باخت
corne/bois de cerf,châh,شاخ
dieu,xoda,خدا
cuit,pahté,پخته
cuire,pahtan,پختن
capitale,paitaht,پایتخت
construit,sâht,ساخت
construire,sâhtan,ساختن
parapluie,chatr,چتر
valise,chamedan,چمدان
cruche,parch,پارچ
chat,gorbé,گربه
mouche,magas,مگس
souris,mouch,موش
chien,sag,سگ
sonette,zeng,زنگ
promenade,gardesh,گردش
oeuil,chechm,چشم
cou,gardan,گردن
gaz,gaz,‍‍‍‍‍‍گاز
gauche,tchap,چپ
droite,râst,راست
malain,zarang,زرنگ
imprimé,tchâp,چاپ
boucle,sagak,سگک
mort,marg,مرگ
gazon,tchaman,چمن
gros,châq,چاق
mince,lahar,لاغر
chèque,chek,چک
pierre,sang,سنگ
tissus,pârché,پارچه
poignet,moch,مچ
lune,mâh,ماه
brouillard,meh,مه
mosqué,masjed,مسجد
courronne,tadj,تاج
riz,berang,برنج
question,soal,سوال
question,parsech,پرسش
réponse,javâb,جواب
réponse,pasoch,پاسخ
triste,narahat,ناراحت
triste,romgin,خمگین
aucun,hist,هیچ
je pense que,fekr mi konam ke,فکر می کنم که
malade,mariz,مریص
malade,bimar,بیمار
hopital,bimarestan,بیمارستان
parce-que,tchoun ke,شون که
combien,chand,شند
fermé,tahtil,تعصیل
fermé,baste,بسته
vacances,tahtilat,تعصیلات
voyageur,mosafer,مسافر
mois,ama,اّمّا
chercheur,pajouhesgar,پژوهشگر
la recherche,pajouhesch,پژوش
le sportif,varzechkâr,ورزشکار
sport,varzechk,ورزشک
couple,zodj,زوج
ouvert,baz,باز
aussi,ham,هم
mariage,ezdewaj,ازدواج
collègue,hamkar,همکار
