papa,baba,بابا
avec,ba,با
ce/cet/cette,an,آن
farine,ard,آرد
odeur,bou,بو
prune,alou,آلو
sourcil,abrou,آبرو
cheveux,mou,مو
livre,kétab,کتاب
femme,zan,زن
jeune,javan,جوان
belle,ziba,زیبا
homme,mard,مرد
vieux,pir,پیر
garçon,pésar,پسر
petit,kouchak,کوچک
calme,aram,آرام
noir,sîyâh,سیاه
sac,kif,کیف
enfant,baché,بچه
vêtements,lebâs,لباس
téléphone,mobile,موبایل
église,kelisa,کلیسا
synagogue,kanisé,کنیسه
ville,chahr,شهر
langue,zaban,زبان
maison,xané,خانه
ancien,qâdimi,قدیمی
magasin,maqâzé,مفازه
nouveau,djadid,جدید
court,koutâh,کوتاه
bras,bazou,بازو
pied/jambe,pa,پا
peuple,mardom,مردم
chat,gorbé,گربه
chapitre,bab,باب
mémoire,yâd,یاد
secret,râz,راز
ouvert,bâz,باز
avide,âz,آز
serpent,mâr,مار
vent,bâd,باد
feu,nâr,نار
précieux,nâb,ناب
maintenant,hâlâ,حالا
état (bien-être),hâl,حال
riche,dârâ,دارا
tapis,farch,قرش
rayonnant,taban,تابان
libre,azad,آزاد
