WORD_ID	THEME_ID	SUBTHEME	FRENCH	DUTCH	GERMAN	ENGLISH	PERSIAN	IMAGE_ID
19	3	Clothes	peignoir	badjas	Bademantel	bathrobe		https://masquetoallas.com/gb/27-bathrobes
8	3	Clothes	ceinture	riem	Gürtel	belt	کمربند	https://www.breuninger.com/be/en/b/porsche-design/leather-belt/1000920356/p/?variant=6c9d340cb515ddf102768dac64fd6ea2&em_src=kw&em_cmp=google_BE_PLA/FreeListing/1000920356/&btp_cpid=420&btp_ctry=BE&btp_cred=Google&btp_adtp=Product&btp_goal=Conversion&btp_flag=FreeListing&btp_pd=1000920356
61	3	Colors	noir	zwart	schwarz	black	سیاه	https://t1.gstatic.com/images?q=tbn:ANd9GcSe8M5qAW3Y4uq1xpCe7Kypav9x_r4Vz89KPN24Z-l1BfrO8dpD
64	3	Colors	bleu	blauw	blau	blue	آبی	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB8EUE62HD3V4o96eAESdEOFd85XLzCDGeMctOCzbkac4CS44L
30	3	Clothes	bottes	laarzen	Stiefel	boots	چکمه	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVt414edg2Rvkqes8i1dw8TqiyHx2pgLFkZ2vIBnuPPdtjU5zJ
16	3	Clothes	soutien-gorge	BH	BH	bra		https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTaxomL-VOAlZYFWpDipNMDCmLpIvJeJx3ov1adpAMhye8B-pJ
11	3	Clothes	bracelet	armband	Armband	bracelet	دستبند	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRyhe2kCdYi4X2LR716mx6AaJTRfvsxBmGUa_F0HoOzid3nqsER
91	3	Colors	marron	bruin	braun	brown	قهوهای	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1hFlZyB6h7e0VEOQWUR314hnnwIRaU9ux8DbzRj0rqVW16dHJ
125	2	Places	classe	klas	Klasse	class	کلاس	https://www.cta.org/wp-content/uploads/2020/03/empty-classroom.jpg
1	3	Clothes	vêtement	kleding	Kleidung	clothing	لباس	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTA0VCFk21D-2UvKvRo2JK2wnEq6v2mdk3pL-Y5l9reahkm2lqg
27	3	Clothes	manteau	jas	Mantel	coat	پالتو	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQSdv3nAGYp3QYWSYlibpLKgBnNJwhSNsvdyD9hz2sv9EJCM_5L
23	3	Clothes	robe	jurk	Kleid	dress	پیراهن	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5CLJWfYE_XBXlghbCEKQiWPpa8o9j5qBi0_K3P0gbMn6-N3_g
34	3	Clothes	gilet	vest	Weste	coat	جلیقه	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRx_X4OYhBC56tZm7Eklln25McbGeXZBgxHn3ZbpgYhiCmzEmqM
5	3	Clothes	lunettes	bril	Brille	glasses	عینک	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr26m0-FY5qRPbnk-vgXvOYd8J7Oob_o5QjgBOFrhtnc5PBJXx
3	3	Clothes	gants	handschoenen	Handschuhe	gloves	دستکش	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTEPj8mvHIEl4ZPI3ZUAAIWrpdAFBysvViL3kWB_2lc1O8Tj4ss
87	3	Colors	gris	grijs	grau	gray	خاکستری	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.GOZdRK2P1ZbKgvNObW5N7gHaEK%26pid%3DApi&f=1&ipt=e265d5a45b74c5b5fd468fcc0de832764645b171d16e97635282ba4a84cbdb31&ipo=images
90	3	Colors	vert	groen	grün	green	سبز	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMaOf3b5K1rzffCyktUR8P1RHBx_UMxwuNfnujdqOcEVc09MjR
10	3	Clothes	chapeau	hoed	Hut	hat	کلاه	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSS20iajBDQtjZYJYR3H17ez9kh1fwu0umcoMlmBnpieWyl6yWQ
29	3	Clothes	chaussures à talons	hakken	Absatzschuhe	heels		https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbN_fB3ipCsuTFSDsjUGb5J__OaWq1auQnz37IBVgS3jlcQr_x
9	3	Clothes	sac	tas	Tasche	bag	کیف	https://www.bragmybag.com/saint-laurent-small-sac-de-jour-carryall-bag/
25	3	Clothes	veste	jas	Jacke	jacket	ژاکت	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQe-5g1EoR3Ovr99cachdke2VeWBzx_Dm5R5VB14QdV_lm5kxLk
32	3	Clothes	pull	trui	Pullover	jumper		https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSk65vBmFYULrircCLvAazZAuA_zNn4tfAOBWrgSZfy774mLyI3
35	3	Clothes	marché	markt	Markt	market	بازار	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9ZAoybmofB4EiyMhHceiKCbCMpcW54uRXlwgHVT9djjwhOvd_
116	3	Objects	argent	geld	Geld	money	پول	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbDHMUV9xgWYD8deniUz8CvrthF_FYSfP61k02uBFJNwKJ4jPV
13	3	Clothes	collier	ketting	Halskette	necklace	گردنبند	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbvFTNS_A2cgYCnQVkAusmEQHYHJT0Db8DAwcACYoDypH5fJhe
86	3	Colors	orange	oranje	orange	orange	نارنجی	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTjvljxF_ify6DBR42Z5X5qPjE0rX0XHCNu0yxnCPhbEDul9FyB
