harcèlement,âzâr,آزار
harceler,âzâr dâdan,آزار دادان
déni,hâchâ,حاشا
digne de confiance,râzdâr,رازدار
nom,nâm,نام
haut,bâlâ,بالا
ailes,bâl,بال
gorgé deau,âbdâr,آبدار
ce,an,آن
frais/nouveau,tâzé,تازه
lettre,nâmé,نامه
à,bé,به
trois,sé,سه
vallée,darré,درّه
colline,tappé,تپّه
fenêtre,panjaré,پنجره
grêle,jalé,ژاله
usé,kochné,کهنه
semaine,havté,هفته
minute,darirhé,دقیقه
toujours,hamiché,همیشه
tous,hamé,همه
dix,dah,ده
soupire,âh,آه
chemin,râh,راه
université,dâneschkâ,دانشگاه
jour,rouz,روز
rivière,roud ghâné,رود خانه
aujourdhui,emrouz,امروز
hier,dirouz,دیروز
avant-hier,parirouz,پریروز
parce-que,choun ké,چون که
raisins,angour,آنگور
citron,limou,لیمو
tombe,gour,گور
loin,dour,دور
montagne,kou,کوه
village,rou,رو
salé,chour,شور
lumière,nour,نور
aveugle,kour,کور
bien,choub,خوب
argent (payer),poul,پول
réputation,abrou,آبرو
oreilles,gouch,گوش
neuf (chiffre),no,نو
nourriture,chorâk,حوراک
répétition,dobâré,دوباره
deux,do,دو
argent (métal),nokré,نقره
pars (impératif),boro,برو
mari,chohar,شوهر
puissance,tawan,توان
mur,diwar,دیوار
temps (météo),hawa,هوا
bijoux,javaher,جواهر
café,kahvé,قهوه
fruit,mihvé,میوه
soeur,khrahar,خواهر
vouloir,khrahastan,خواستن
