DIALOGUE_ID	THEME_ID	SEQUENCE_NUMBER	CHARACTER_ENGLISH	CHARACTER_FRENCH	CHARACTER_GERMAN	CHARACTER_DUTCH	CHARACTER_PERSIAN	FRENCH	PERSIAN	GERMAN	ENGLISH	DUTCH
2	3	1	narrator	narrateur	Erzähler	verteller	راوی	Mina et sa mère vont au marché. Mina veut des vêtements. 	مینا و مادر او به بازار می روید. مینا لباس ها می خواهد.	Mina und ihre Mutter gehen zu dem Markt. Mina will Kleidung.	Mina and her mother are going to the market. Mina wants clothes.	Mina en haar moeder gaan naar de markt. Mina wil kleding.
2	3	2	Mina’s mother	Mère de Mina	Mina’s Mutter	Mina’s moeder	مادر مینا	Quels vêtements veux-tu acheter ?	تو چی لباس های می خواهی؟ 	Welche Kleidung willst du kaufen ?	Which clothes do you want to buy ?	Welke kleding wil je kopen ?
2	3	3	Mina	Mina	Mina	Mina	مینا	Je veux une robe, un pantalon et des chaussures.	من یک پیراهن و شلوار و کفش می خواهم. 	Ich will ein Kleid, ein Hose und Schuhe.	I want a dress, pants and shoes.	Ik wil een jurk, een broek en schoenen.
2	3	4	Mina’s mother	Mère de Mina	Mina’s Mutter	Mina’s moeder	مادر مینا	Ici il y a un magasin de vêtements.	اینجا یک لباس فروشگاه است.	Hier is ein Kleidungladen.	Here is a clothing shop.	Hier is een kledingswinkel.
2	3	5	Mina	Mina	Mina	Mina	مینا	Bonjour monsieur,  je veux une robe et un pantalon s’il-vous plaît.	سلام آقا من یک پیراهن و شلوار می خواهم لطفا.	Hallo Herr, ich will ein Kleid und ein Hose bitte.	Hello mister, I want a dress and trousers please.	Hallo mijnheer, ik wil een jurk en een broek alstublieft.
2	3	6	seller	vendeur	Verkaüfer	verkoper	فروشنده	Bonjour mesdames,  quelle couleur voulez-vous pour la robe ?	سلام خانم ها شما چه رنگ برای پیراهن می خواهید؟	Hallo Damen,  welche Farbe wollen sie für dem Kleid ?	Hello ladies, what color do you want for the dress ?	Hallo damen, welke kleur willen jullie voor de jurk ?
2	3	7	Mina	Mina	Mina	Mina	مینا	Je veux une robe noire et un pantalon blanc.	من یک پیراهن سیاه می خواهم و شلوار سفید.	Ich will ein schwarzes Kleid une ein weißen Hose.	I want a black dress and white trousers.	Ik wil een zwarte jurk en een witte broek.
2	3	8	seller	vendeur	Verkaüfer	verkoper	فروشنده	Les robes sont ici et les pantalons sont là-bas.	پیراهن ها اینجا هستند و شلوار آنجا هستند.	Die Kleider sind hier und die Hosen sind da.	The dresses are here and the trousers are there.	De jurken zijn hier en de broeken zijn daar. 
2	3	9	Mina’s mother	Mère de Mina	Mina’s Mutter	Mina’s moeder	مادر مینا	Je n’aime pas les pantalons blancs. Les pantalons bleux sont mieux.	من شلوار سفید دوست ندارم شلوار آبی بهتر هستند.	Ich liebe die weißen Hosen nicht. Blaue Hosen sind besser.	I don’t like white trousers. Blue trousers are better.	Ik hou niet van witte broeken. Blauwe broeken zijn beter.
2	3	10	Mina	Mina	Mina	Mina	مینا	Ce pantalon est joli. C’est combien ?	این شلوار زیبا است. چند است؟	Diese Hose ist schön. Wie viel ist es ?	These trousers are beautiful. How much is it ?	Deze broek is mooi. Hoeveel is het ? 
2	3	11	seller	vendeur	Verkaüfer	verkoper	فروشنده	Il coûte 300 000 Toman. 	۳۰۰۰۰۰ تومان است.	Es kostet 300 000 Toman. 	It costs 300 000 Toman.	Het kost 300 000 Toman. 
2	3	12	Mina	Mina	Mina	Mina	مینا	C’est bon marché! J’achète ce pantalon bleu et cette robe rouge.	ارزان است من این شلوار آبی و این پیراهن قرمز می خرم.	Es ist billig. Ich kaufe dieses blaue Hose und diese rotes Kleid.	It is cheap. I am buying these blue trousers and this red dress.	Het is goedkoop. Ik koop deze blauwe broek en deze rode jurk.
2	3	13	seller	vendeur	Verkaüfer	verkoper	فروشنده	Ces deux vêtements coûtent 550 000 Toman.	این دو لباس ها ۵۵۰۰۰۰ تومان هستند.	Diese beide Kleidungen kosten 550 000 Toman.	These clothes cost 550 000 Toman.	Deze kledingen kosten 550 000 Toman.
