pays,kéchvar,کشور
nationalité,mélliyât,ملیت
Inde,hend,هند
indien,hendi,هندی
Pologne,lahéstân,لهستان
polonais,lahéstâni,لهستانی
Chine,tchîn,چین
chinois,tchîni,چینی
Corée,koré,کره
coréen,koréai,کرهای
Turquie,torkîyé,ترکیه
turc,tork,ترک
Russie,roussiyé,روسیه
russe,rous,روس
Amérique,âmrikâ,آمریکا
américain,âmrikâyî,آمریکای
Malésie,mâlézi,مالزی
malésien,mâléziayî,مالزیایی
Iraq,araq,عراق
iraqien,araqî,عراقی
Nigéria,nigérié,نیجریه
nigérien,nigériyaî,نیجریایی
Tadjikistan,tadjikistan,تاجیکستان
tadjik,tâgîk,تاجیک
Syrie,sourié,سوریه
syrien,souri,سوری
Italie,itali,ایتالیا
italien,italiaî,ایتالیای
France,farensi,فرانسو
français,farensaii,فرانسوی
Iran,iran,ایران
iranien,irani,ایرانی
Canada,kanada,کانادا
canadien,kanadaï,کانادایی
Ghana,ghana,غنا
ghanien,ghanaï,غنایی
Allemagne,alman,آلمان
allemand,almani,آلمانی
Bengladesh,bangladesh,بنگلادش
bengladais,bangladeshi,بنگلادشی
Yemen,yemen,یمن
yemenite,yemeni,یمنی
Vietnam,ouetnam,ویتنام
vietnamien,ouetnamii,ویتنامی
que/quel,chi,چی
est-ce que,âyâ,آیا
ne pas,nist,نیست
ne suis pas,nistam,نیستم
oui,balé,بله
non,na,نه
fatigué,xasté,خسته
content,xochâl,خوشحال
étudiant,dânéchjou,دانشجو
professeur (université),ostâd,استاد
affamé,gorosné,گرسنه
soif,téchné,تشنه
médecin,pézechk,پزشک
médecine,pézechki,پزشکی
avocat,vakîl,وکیل
triste,nârâhat,ناراحت
classe,kâlaz,کلاس
cheval,asb,آسب
mois,dast,دست
moi/je,man,من
plume,par,پر
masculin,nar,نر
panier,sabad,سبد
père,pedar,پدر
grossier,zebr,زبر
sucre,chékar,شکر
rempli,pour,پر
rouge,sorch,سرخ
plomb,sorb,سرب
radis,torob,ترب
