laine,pachm,پشم
coton,nach,نخ
Sud,jonoub,جنوب
occident,qarb,غرب
récit,dastan,داستان
orient,charq,شرق
Nord,chomal,شمال
forêt,jangal,جنگل
apprendre,yad gereftan,یاد گرفتن
j apprends,man yad mi giram,من یاد می گیرم 
tu apprends,to yad mi giri,تو یاد می گیری
il/elle apprend,ou yad mi girad,او یاد می گیرد
nous apprenons,ma yad mi girim,ما یاد می گیریم
vous apprenez,choma yad mi girid,شما یاد می گیرید
ils/elles apprennent,anha yad mi girand,آنها یاد می گیرند
enseigner,yad dadan,یاد دادن
j enseigne,man yad dadam,من یاد دادم
tu enseignes,to yad dadi,تو یاد دادی
il/elle enseigne,ou yad dad,او یاد داد
nous enseignons,ma yad dadim,ما یاد دادیم
vous enseignez,choma yad dadid,شما یاد  دادید
ils/elles enseignent,anha yad dadand,آنها یاد دادند
comprendre,fahmidan,فهمیدن
je comprends,man mi fahmam,من می فهمم
tu comprends,to mi fahmi,تو می فهمی
il/elle comprend,ou mi fahmad,او می فهمد
nous comprenons,ma mi fahmim,ما می فهمیم
vous comprenez,choma mi fahmid,شما می فهمید
ils/elles comprennent,anha mi fahmand,آنها می فهمند
saison,fasl,فصل
moyen,mohtadel,معتدل
métal,felez,فلز
bois,chob,چوب
orange,narengi,نارنجی
bleu,abi,آبی
brun,kahvei,قهوهای
écouter,gouch dadan,گوش دادن
j écoute,man gouch mi diham,من گوش می دهم
tu écoutes,to gouch mi dihi,تو گوش می دهی
il écoute,ou gouch mi dihad,او گوش می دهد
nous écoutons,ma gouch mi dihim,ما گوش می دهیم
vous écoutez,choma gouch mi dihid,شما گوش می دهید
ils/elles écoutent,anha gouch mi dihand,آنها گوش می دهند
répétition,tekrar,تکرار
boulangerie,nanvaii,نانوایی
pharmacie,darou xane,دارو خانه
arrêt de bus,istgahe autobus,ایستگاه اتوبوس
aéroport,faroudgah,فرودگاه
hopital,bimarestan,بیمارستان
pompe essence,pompe benzin,پمپ بنزین
atelier photo,akasi,عکاسی
centre commercial,markaze xarid,مرکز خرید
passager,mosafer,مسفر
paquet,pakat,پاکت
tableau,tablo,تابلو
mur,divar,دیوار
latte,xatkach,خطکش
feuille de papier,koqaz,کاغذ
maintenant,alan,الان
poupée,arousak,عروسک
lit,taxt,تحت
heure/réveil,saat,ساعت
aspirateur,jaroubarqi,جاروبرقی
en dehors de,biroun,بیرون
pantalon,chalvar,شلوار
surement,pas hatma,پس حتما
moyens de transport,vasaile naqlih,وسایل تقلیه
taxi,taksi,تاکسی
autobus,autobus,اتوبوس
voiture,machin,ماشین
vélo,do chaxe,دو چرخه
métro,metro,مترو
bâteau,kachti,کشتی
avion,avapeima,هواپیما
train,qatar,قطار
