multiplication,zarb,ضرب
dégats,zarar,ضرر
nécessité,zarourat,ضرورت
parole,sochbat,صحبت
content,khochal,خوشحال
essui,hole,حوله
essentiel,zorouri,ضروری
astronaute,fazanavard,فضانورد
petit déjeuner,sobhane,صبحانه
prêt,hazer,حاضر
correct,sahih,صحیح
perroquet,touti,طوطی
seau,satl,سطل
ticket,belit,بلیط
vaisselle,zarf,ظرف
midi,zohr,ظهر
ligne,hat,خط
prudent,movazeb,مواظب
réglage,tanzim,تنظیم
délicat,zarif,ظریف
pluie,nazm,نظم
propre,nazif,نظیف
paysage,manzare,منظره
poupée,arousak,عروسک
boîte,jahbe,جعبه
bougie,chamh,شمح
oie,qaz,غاز
hiboux,johd,جغد
poule,morq,مرغ
chouette (oiseau),porf,پوف
savoir,helm,علم
coucher de soleil,qoroub,غروب
après midi,bahd az zohr,بعد از ظهر
savant,alem,عالم
bruyant,cholouq,شلوغ
Ouest,qarb,غرب
mince,laqar,لاغر
occupé,machqual,مشغول
lame,tiq,تیغ
jardin,baq,باغ
évident,mahloum,معلوم
sale,kasif,کژیف
repas,qazar,غذا
délicieux,laziz,لذیذ
meubles,azaz,اژاث
excuses,mahzerat,معذرت
instinct,zat,ذات
réserve,zahire,ذخیره
lave,mozab,مذاب
serré,zabet,ژابت
vie (durée),homr,عمر
personne,hitchkas,هیچ کس
tout le monde,hame,همه
cabinet (médecin),matab,مطب
bonjour (matin),soub beheir,صبح بخیر
seul,tanha,تنها
pâtisserie,chirini,شیرینی
salle de sport,salone varzech,سلن ورزش
histoire/date,tarich,تاریخ
linguistique,zabanchenasi,زبانشناسی
journal,rouz name,روز نامه
beaucoup,ziad,زیاد
aller,raftan,رفتن
je vais,man mi ravam,من می روم
tu vas,to mi ravi,تو می روی
il/elle va,ou mi ravad,او می رود
nous allons,ma mi ravim,ما می رویم
vous allez,choma mi ravid,شما می روید
ils/elles vont,anha mi ravand,آنها می روند
venir,amadan,آمدن
je viens,man mi aim,من می آیم
tu viens,to mi aii,تو می آیی
il/elle vient,ou mi aid,او می آید
nous venons,ma mi aiim,ما می آییم
vous venez,choma mi aiid,شما می آیید
ils/elles vont,anha mi aiiand,آنها می آیند
avoir,dachtan,داشتن
j ai,man daram,من دارم
tu as,to dari,تو داری
il/elle a,ou darad,او دارد
nous avons,ma darim,ماداریم
vous avez,choma darid,شما دارید
ils/elles ont,anha darand,آنها دارند
vouloir,khastan,خواستن
je veux,man mi khaham,من می خواهم
tu veux,to mi khahi,تو می خواهی
il/elle veut,ou mi khahad,او می خواهد
nous voulons,ma mi khahim,ما می خواهیم
vous voulez,choma mi khahid,شما می خواهید
ils/elles veulent,anha mi khahand,آنها می خواهند
manger,khordan,خوردن
je mange,man mi khoram,من می خورم
tu manges,to mi khori,تو می خوری
il/elle mange,ou mi khord,او می خورد
nous mangeons,ma mi khorim,ما می خوریم
vous mangez,choma mi khorid,شما می خورید
ils/elles mangent,anha mi khorand,آنها می خورند
voir,didan,دیدن
je vois,man mi binam,من می بینم
tu vois,to mi bini,تو می بینی
il/elle voit,ou mi binad,او می بیند
nous voyons,ma mi binim,ما می بینیم
vous voyez,choma mi binid,شما می بینید
ils/elles voient,anha mi binand,آنها می بینند
entendre,chenidan,شنیدن
j entends,man mi chenavam,من می شنوم
tu entends,to mi chenavi,تو می شنوی
il/elle entend,ou mi chenavad,او می شنود
nous entendons,ma mi chenavim,ما می شنویم
vous entendez,choma mi chenavid,شما می شنوید
ils/elles entendent,anha mi chenavand,آنها می شنوند
acheter,kharidan,خریدن
j achète,man mi xaram,من می خرم
tu achètes,to mi xari,تو می خری
il/elle achète,ou mi xarad,او می خرد
nous achetons,ma mi xarim,ما می خریم
vous achetez,choma mi xarid,شما می خرید
ils/elles achètent,anha mi xarand,آنها می خرند
boire,nochidan,نوشیدن
je bois,man mi nocham,من می نوشم
tu bois,to mi nochi,تو می نوشی
il/elle boit,ou mi nochad,او می نوشد
nous buvons,ma mi nochim,ما می نوشیم
vous buvez,choma mi nochid,شما می نوشید
ils/elles boivent,anha mi nochand,آنها می نوشند
rester,mandan,ماندن
je reste,man mi manam,من می مانم
tu restes,to mi mani,تو می مانی
il/elle reste,ou mi manad,او می ماند
nous restons,ma mi manim,ما می مانیم
vous restez,choma mi manid,شما می مانید
ils/elles restent,anha mi manand,آنها می مانند
arriver,residan,رسیدن
j arrive,man mi resam,من می رسم
tu arrives,to mi resi,تو می رسی
il/elle arrive,ou mi resad,او می رسد
nous arrivons,ma mi resim,ما می رسیم
vous arrivez,choma mi resid,شما می رسید
ils/elles arrivent,anha mi resand,آنها می رسند
comprendre,fahmidan,فهمیدن
je comprends,man mi fahmam,من می فهمم
tu comprends,to mi fahmi,تو می فهمی
il/elle comprend,ou mi fahmad,او می فهمد
nous comprennons,ma mi fahmim,ما می فهمیم
vous comprennez,choma mi fahmid,شما می فهمید
ils/elles comprennent,anha mi fahmand,آنها می فهمند
